Player,MIN,FGM/FGA,FG%,FTM/FTA,FT%,3:00 PM,REB,AST,STL,BLK,TO,PTS,FG%_zscore,FT%_zscore,3:00 PM_zscore,REB_zscore,AST_zscore,STL_zscore,BLK_zscore,TO_zscore,PTS_zscore,TO_zscore_inverted,Total_ZScore,Rank
"Jalen Smith ChiPF, C",16.7,4.0/6.7,0.6,1.7/2.3,0.714,2.3,6.0,0.7,0.3,0.7,1.3,12.0,0.8682265230882502,0.2304463336678612,1.0530849737477164,1.0027388319284694,-0.8086201347493813,-0.7083524662626884,0.7081211878945568,0.21357122863019076,0.5596450642659614,-0.21357122863019076,2.6917190849505546,33
Jose Alvarado NOPG,22.0,3.3/6.3,0.52,0.8/1.0,0.75,2.3,3.8,2.8,1.0,0.0,0.5,9.5,0.3563967825335132,0.32946940674658204,1.0530849737477164,0.03534000187856599,0.3470820453120517,0.5015729289554668,-0.7908885994666479,-0.7601940935158545,0.09413095181774907,0.7601940935158545,2.6863825850408514,34
Kris Dunn LACPG,25.0,3.0/5.0,0.6,0.8/1.0,0.75,1.0,2.5,3.3,2.3,0.3,1.8,7.8,0.8682265230882502,0.32946940674658204,-0.2257041720238659,-0.5363047613327404,0.6222492310409644,2.748577234360612,-0.148455833454703,0.8221745549714691,-0.22241864464703537,-0.8221745549714691,2.6134644288065947,35
Josh Minott BosSF,22.5,3.0/8.3,0.364,1.5/2.0,0.75,1.3,6.3,1.5,1.3,0.5,0.5,8.8,-0.6416712115482247,0.32946940674658204,0.06940101546188393,1.1346568542080013,-0.36835263758312103,1.0201123840489619,0.279832677219927,-0.7601940935158545,-0.036212999667750254,0.7601940935158545,2.5474295824021147,36
Mike Conley MinPG,23.7,2.7/4.3,0.615,1.7/1.7,1.0,2.0,2.0,6.3,0.3,0.0,1.3,9.0,0.9641945994422636,1.0171296364599207,0.7579797862619667,-0.7561681317986274,2.2732523454144404,-0.7083524662626884,-0.7908885994666479,0.21357122863019076,0.0010281293281065994,-0.21357122863019076,2.5446040707485436,37
"D'Angelo Russell DalPG, SG",26.7,5.0/12.3,0.405,3.3/4.0,0.833,3.3,3.7,6.0,0.0,0.3,2.7,16.7,-0.37935846951392166,0.5577726030114103,2.036768932033549,-0.008632672214611272,2.1081520339770927,-1.2268919213561835,-0.148455833454703,1.9176605423857702,1.4348115956686005,-1.9176605423857702,2.456505725765463,38
Ronald Holland II DetSF,22.0,3.3/6.7,0.5,1.0/1.0,1.0,0.7,4.3,3.0,1.3,0.3,1.0,8.3,0.22843934739482874,1.0171296364599207,-0.5208093595096157,0.25520337234445306,0.45714891960361687,1.0201123840489619,-0.148455833454703,-0.15159076717457629,-0.12931582215739273,0.15159076717457629,2.331043411904646,39
"Cedric Coward MemSF, SG",28.8,4.0/9.8,0.41,3.5/4.0,0.875,0.8,7.5,3.5,1.3,0.0,1.8,12.3,-0.34736911072925086,0.6732995216032513,-0.42244096368103234,1.6623289433261306,0.7323161053325296,1.0201123840489619,-0.7908885994666479,0.8221745549714691,0.6155067577597471,-0.8221745549714691,2.3206904832222204,40
"Josh Okogie HouSF, SG",23.3,2.7/6.3,0.421,1.7/2.0,0.833,2.0,2.0,2.0,1.7,0.0,0.3,9.0,-0.2769925214029744,0.5577726030114103,0.7579797862619667,-0.7561681317986274,-0.0931854518542084,1.711498324173622,-0.7908885994666479,-1.003635424052366,0.0010281293281065994,1.003635424052366,2.1146795623050134,41
Cam Spencer MemSG,19.8,3.3/7.3,0.448,2.5/2.8,0.909,3.0,2.0,3.0,1.0,0.0,1.5,12.0,-0.10424998396575044,0.7668213128442655,1.7416637445477994,-0.7561681317986274,0.45714891960361687,0.5015729289554668,-0.7908885994666479,0.457012559166702,0.5596450642659614,-0.457012559166702,1.918532695819382,42
"Sion James ChaSF, SG",29.0,3.0/5.0,0.6,1.7/2.0,0.833,2.0,4.0,1.7,0.3,0.3,0.7,9.7,0.8682265230882502,0.5577726030114103,0.7579797862619667,0.1232853500649209,-0.258285763291556,-0.7083524662626884,-0.148455833454703,-0.5167527629793434,0.1313720808136059,0.5167527629793434,1.8402950432105496,43
Dean WadeO ClePF,18.7,1.7/5.3,0.313,1.0/1.0,1.0,1.0,3.3,2.7,1.0,0.7,0.0,5.3,-0.9679626711518697,1.0171296364599207,-0.2257041720238659,-0.1845233685873211,0.2920486081662694,0.5015729289554668,0.7081211878945568,-1.3687974198571329,-0.6879327570952477,1.3687974198571329,1.821546812475042,44
"Tre Mann ChaPG, SG",23.0,6.0/13.0,0.462,1.3/1.3,1.0,2.3,2.3,2.3,1.0,0.0,1.7,15.7,-0.014679779368671332,1.0171296364599207,1.0530849737477164,-0.6242501095190953,0.07191485958313909,0.5015729289554668,-0.7908885994666479,0.7004538897032133,1.2486059506893155,-0.7004538897032133,1.7620359713779306,45
Donovan Clingan PorC,22.3,1.7/6.0,0.278,1.0/1.0,1.0,0.3,9.0,0.3,0.7,1.0,0.3,4.7,-1.191888182644567,1.0171296364599207,-0.9142829428239486,2.321919054723792,-1.0287538833325114,-0.01696652613802837,1.350553953906502,-1.003635424052366,-0.7996561440828186,1.003635424052366,1.7416903901207066,46
"Christian Braun DenSG, SF",32.0,4.7/10.0,0.467,2.7/4.0,0.667,0.3,5.0,3.7,0.7,0.7,1.3,12.3,0.01730957941599978,0.10116621048175374,-0.9142829428239486,0.563012090996695,0.8423829796240947,-0.01696652613802837,0.7081211878945568,0.21357122863019076,0.6155067577597471,-0.21357122863019076,1.7026781085806795,47
Clint Capela HouC,15.0,1.7/3.0,0.556,1.3/2.0,0.667,0.0,9.3,1.0,0.3,1.0,0.7,4.7,0.5867201657831452,0.10116621048175374,-1.2093881303096985,2.4538370770033247,-0.6435198233120337,-0.7083524662626884,1.350553953906502,-0.5167527629793434,-0.7996561440828186,0.5167527629793434,1.6481136061868293,48
"Tim Hardaway Jr. DenSG, SF",23.0,4.0/8.7,0.462,1.0/1.0,1.0,2.3,2.3,1.3,0.7,0.0,0.3,11.3,-0.014679779368671332,1.0171296364599207,1.0530849737477164,-0.6242501095190953,-0.47841951187468607,-0.01696652613802837,-0.7908885994666479,-1.003635424052366,0.42930111278046207,1.003635424052366,1.5779466206733361,49
AJ Green MilSG,25.3,4.3/8.0,0.542,0.7/1.3,0.5,3.7,2.0,2.0,0.0,0.0,0.3,13.0,0.4971499611860661,-0.35819082296675653,2.4302425153478824,-0.7561681317986274,-0.0931854518542084,-1.2268919213561835,-0.7908885994666479,-1.003635424052366,0.7458507092452463,1.003635424052366,1.4515536823891373,50
